,1,2,3,4,5,6,7,8,9,Salary,Projection
234,Travis Kelce,Alvin Kamara,Devontae Booker,Cooper Kupp,Adam Thielen,Kenny Golladay,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59100,142.5
235,Travis Kelce,Devontae Booker,Lamar Miller,Cooper Kupp,Adam Thielen,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59200,142.4
475,Travis Kelce,David Njoku,Alvin Kamara,Devontae Booker,Adam Thielen,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Denver Broncos,59500,142.39999999999998
474,Travis Kelce,David Njoku,Alvin Kamara,Devontae Booker,Adam Thielen,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Washington Redskins,59500,142.39999999999998
476,Travis Kelce,David Njoku,Alvin Kamara,Devontae Booker,Cooper Kupp,Adam Thielen,Tyreek Hill,Ryan Fitzpatrick,Buffalo Bills,59300,142.29999999999998
8,Travis Kelce,Alvin Kamara,Isaiah Crowell,Lamar Miller,Cooper Kupp,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59100,142.2
236,Travis Kelce,Alvin Kamara,Devontae Booker,Cooper Kupp,Jermaine Kearse,Adam Thielen,Jarvis Landry,Cam Newton,Buffalo Bills,59000,141.9
477,Travis Kelce,David Njoku,Alvin Kamara,Christian McCaffrey,Kenny Golladay,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59400,141.9
9,Travis Kelce,Alvin Kamara,Devontae Booker,Lamar Miller,Kenny Golladay,Tyreek Hill,Jarvis Landry,Cam Newton,Buffalo Bills,59200,141.9
478,Travis Kelce,David Njoku,Alvin Kamara,Devontae Booker,Adam Thielen,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59100,141.79999999999998
10,Travis Kelce,Alvin Kamara,Devontae Booker,Isaiah Crowell,Cooper Kupp,Tyreek Hill,Jarvis Landry,Cam Newton,Buffalo Bills,59000,141.7
