,1,2,3,4,5,6,7,8,9,Salary,Projection
548,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Chiefs,47900,138.79999999999998
549,Travis Kelce,Austin Hooper,Alvin Kamara,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,47800,138.7
550,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Dolphins,48000,138.6
551,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Julio Jones,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,48000,138.6
288,Travis Kelce,Isaiah Crowell,Nick Chubb,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47900,138.6
31,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Marvin Jones Jr.,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,47200,138.6
32,Travis Kelce,Alvin Kamara,Lamar Miller,Nick Chubb,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47100,138.5
289,Travis Kelce,Alvin Kamara,Nick Chubb,Marvin Jones Jr.,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,47800,138.49999999999997
290,Travis Kelce,Isaiah Crowell,Nick Chubb,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47700,138.1
552,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,47500,138.1
553,Travis Kelce,Austin Hooper,Alvin Kamara,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47400,138.0
554,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Julio Jones,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47600,137.9
33,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Courtland Sutton,Michael Crabtree,Cam Newton,Broncos,46900,137.89999999999998
291,Travis Kelce,Alvin Kamara,Nick Chubb,Kenny Golladay,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47600,137.89999999999998
292,Travis Kelce,Alvin Kamara,Nick Chubb,Marvin Jones Jr.,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47400,137.79999999999998
34,Travis Kelce,Lamar Miller,Nick Chubb,James Conner,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47000,137.70000000000002
35,Travis Kelce,Alvin Kamara,Chris Carson,Nick Chubb,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,46800,137.7
555,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,47300,137.6
556,Travis Kelce,Austin Hooper,Alvin Kamara,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47200,137.5
37,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Courtland Sutton,Michael Crabtree,Cam Newton,Lions,46700,137.39999999999998
36,Travis Kelce,Phillip Lindsay,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,46700,137.39999999999998
293,Travis Kelce,Nick Chubb,Adrian Peterson,Julio Jones,Sammy Watkins,Courtland Sutton,Michael Crabtree,Cam Newton,Broncos,47500,137.3
