Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-28900,RB,Melvin,Melvin Gordon III,Gordon III,10.59999974568685,6,5900,DEN@CLE,DEN,CLE,,,,,,RB/FLEX
65568-45439,WR,Corey,Corey Davis,Davis,11.640000152587891,5,5900,NYJ@NE,NYJ,NE,,,,,,WR/FLEX
65568-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.800000508626303,6,5900,ATL@MIA,MIA,ATL,,,,,,WR/FLEX
65568-83074,TE,Dallas,Dallas Goedert,Goedert,8.219999694824219,5,5900,PHI@LV,PHI,LV,IR,Illness,,,,TE/FLEX
65568-24755,WR,Jamison,Jamison Crowder,Crowder,11,2,5800,NYJ@NE,NYJ,NE,,,,,,WR/FLEX
65568-92413,RB,Eli,Eli Mitchell,Mitchell,9.966666539510092,3,5800,IND@SF,SF,IND,,,,,,RB/FLEX
65568-90576,WR,DeVonta,DeVonta Smith,Smith,9,6,5800,PHI@LV,PHI,LV,,,,,,WR/FLEX
65568-39580,RB,Devontae,Devontae Booker,Booker,6.659999847412109,5,5800,CAR@NYG,NYG,CAR,,,,,,RB/FLEX
65568-93408,WR,Rondale,Rondale Moore,Moore,8.766666412353516,6,5800,HOU@ARI,ARI,HOU,,,,,,WR/FLEX
65568-34331,RB,Latavius,Latavius Murray,Murray,8.283333460489908,6,5800,CIN@BAL,BAL,CIN,Q,Ankle,,,,RB/FLEX
65568-71246,WR,Marquez,Marquez Callaway,Callaway,9.34000015258789,5,5800,NO@SEA,NO,SEA,,,,,,WR/FLEX
65568-40669,WR,Tyler,Tyler Boyd,Boyd,8.166666666666666,6,5800,CIN@BAL,CIN,BAL,,,,,,WR/FLEX
65568-28643,WR,Allen,Allen Robinson II,Robinson II,6.650000254313151,6,5800,CHI@TB,CHI,TB,Q,Ankle,,,,WR/FLEX
65568-63634,WR,Jakobi,Jakobi Meyers,Meyers,9.40000025431315,6,5700,NYJ@NE,NE,NYJ,,,,,,WR/FLEX
65568-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,1.149999976158142,2,5700,DEN@CLE,CLE,DEN,,,,,,RB/FLEX
